Ref_Date,Unadjusted,Seasonally_adjusted,Stock_Exchange_value,Dow_Jones_index,"Standard and Poor's (500), 1941-43=10 (index)",Unemployment,GDP
04/02,23008594,28719948,72689,10583.9,1144.94,1305.6,1333995
04/03,26967793,28689514,86439,10357.7,1126.21,1319.8,1345503
04/04,28592026,28254086,75231.5,10225.6,1107.3,1268.1,1348586
04/05,30479247,28554094,61916.8,10188.5,1120.68,1266.9,1349571
04/06,30711705,28550528,62149.9,10435.5,1140.83,1172.7,1355867
04/07,30898334,28616168,54344,10139.7,1101.72,1277.3,1356853
04/08,29535183,28836665,51945.6,10173.9,1104.24,1310.3,1362357
04/09,29245397,29243662,66082.9,10080.3,1114.58,1108.4,1365968
04/10,29445711,29561177,70942.4,10027.5,1130.2,1110.4,1366210
04/11,29232659,29901036,75957.4,10428,1173.82,1173.1,1371174
04/12,34561103,29593609,71954.5,10783,1211.92,1144.5,1371331
05/01,24498615,29888781,75607.8,10489.9,1181.27,1264,1377872
05/02,24028226,30460620,87024.2,10766.2,1203.6,1261.5,1378783
05/03,28600602,30006264,100109.2,10503.8,1180.59,1250,1374077
05/04,30600811,29940271,75289.7,10192.5,1156.84,1198.7,1384207
05/05,31948565,29935878,74104.2,10467.5,1191.5,1214.1,1390062
05/06,32967426,30590992,87931.2,10275,1191.33,1108,1394154
05/07,32620077,30800241,72034.9,10640.9,1234.18,1225.8,1397646
05/08,32025283,30647393,97890.1,10481.6,1220.33,1267.2,1402812
05/09,30914826,30600008,108070.2,10568.7,1228.81,1082,1403844
05/10,30241532,30887481,99605.8,10440.1,1207.01,1060,1408406
05/11,30828069,31012789,106014.2,10805.9,1249.48,1036.5,1415941
05/12,36726743,31230056,91529.2,10717.5,1248.29,1055.8,1423236
06/01,25993203,31747679,118101.2,10864.9,1280.08,1225.2,1426499
06/02,25128165,31744450,116780.7,10993.4,1280.66,1153.6,1429581
06/03,30760061,31871717,123242.6,11109.3,1294.83,1162.1,1432781
06/04,32106585,32354405,101584.5,11367.1,1310.61,1133.9,1433056
06/05,34894460,32048264,133395.5,11168.3,1270.09,1093.6,1433715
